employee_id,department,commute_time_minutes
Employee_0111,Department_B,43.1
Employee_0112,Department_A,52.6
Employee_0113,Department_B,44.6
Employee_0114,Department_C,45.8
Employee_0115,Department_A,39.8
Employee_0116,Department_D,43.2
Employee_0117,Department_C,24.5
Employee_0118,Department_C,18.2
Employee_0119,Department_B,42.1
Employee_0120,Department_C,40.6
Employee_0121,Department_C,25.9
Employee_0122,Department_C,39.6
Employee_0123,Department_A,42.6
Employee_0124,Department_B,21.3
Employee_0125,Department_A,31.9
Employee_0126,Department_B,49.5
Employee_0127,Department_B,49.3
Employee_0128,Department_A,29.3
Employee_0129,Department_A,43.7
Employee_0130,Department_C,51.2
Employee_0131,Department_A,50.5
Employee_0132,Department_D,46.0
Employee_0133,Department_C,34.9
Employee_0134,Department_B,38.1
Employee_0135,Department_C,45.1
Employee_0136,Department_A,44.1
Employee_0137,Department_D,53.9
Employee_0138,Department_B,46.5
Employee_0139,Department_C,49.0
Employee_0140,Department_A,43.0
Employee_0141,Department_B,53.6
Employee_0142,Department_B,54.6
Employee_0143,Department_D,38.2
Employee_0144,Department_C,20.1
Employee_0145,Department_B,62.0
Employee_0146,Department_A,44.8
Employee_0147,Department_B,26.1
Employee_0148,Department_B,37.1
Employee_0149,Department_B,53.5
Employee_0150,Department_A,38.9
Employee_0151,Department_D,41.4
Employee_0152,Department_D,62.4
Employee_0153,Department_A,30.5
Employee_0154,Department_C,31.2
Employee_0155,Department_A,44.3
Employee_0156,Department_C,44.3
Employee_0157,Department_A,47.5
Employee_0158,Department_C,50.0
Employee_0159,Department_C,42.2
Employee_0160,Department_C,45.4
Employee_0161,Department_A,39.1
Employee_0162,Department_D,47.7
Employee_0163,Department_A,43.2
Employee_0164,Department_A,44.4
Employee_0165,Department_C,48.5
Employee_0166,Department_B,51.1
Employee_0167,Department_D,47.5
Employee_0168,Department_D,38.1
Employee_0169,Department_B,45.7
Employee_0170,Department_D,46.7
Employee_0171,Department_A,44.1
Employee_0172,Department_B,69.3
Employee_0173,Department_A,36.2
Employee_0174,Department_D,51.6
Employee_0175,Department_A,53.8
Employee_0176,Department_A,43.1
Employee_0177,Department_B,70.7
Employee_0178,Department_D,42.8
Employee_0179,Department_D,50.6
Employee_0180,Department_C,31.2
Employee_0181,Department_D,43.1
Employee_0182,Department_D,49.7
Employee_0183,Department_B,54.3
Employee_0184,Department_B,48.5
Employee_0185,Department_C,53.9
Employee_0186,Department_C,39.0
Employee_0187,Department_B,41.3
Employee_0188,Department_A,71.7
Employee_0189,Department_C,44.3
Employee_0190,Department_A,34.1
Employee_0191,Department_D,39.4
Employee_0192,Department_A,31.6
Employee_0193,Department_A,52.3
Employee_0194,Department_D,43.0
Employee_0195,Department_A,43.4
Employee_0196,Department_A,41.3
Employee_0197,Department_C,48.0
Employee_0198,Department_D,37.7
Employee_0199,Department_A,30.2
Employee_0200,Department_B,47.5
Employee_0201,Department_C,46.6
Employee_0202,Department_D,50.7
Employee_0203,Department_B,36.1
Employee_0204,Department_A,49.5
Employee_0205,Department_A,33.8
Employee_0206,Department_A,36.3
Employee_0207,Department_A,31.6
Employee_0208,Department_C,54.3
Employee_0209,Department_A,49.0
Employee_0210,Department_B,51.7
Employee_0211,Department_C,53.7
Employee_0212,Department_C,70.9
Employee_0213,Department_A,23.2
Employee_0214,Department_D,38.9
Employee_0215,Department_C,33.2
Employee_0216,Department_C,30.6
Employee_0217,Department_A,30.1
Employee_0218,Department_A,38.7
Employee_0219,Department_D,33.6
Employee_0220,Department_B,48.7
Employee_0221,Department_B,45.6
Employee_0222,Department_B,50.3
Employee_0223,Department_C,45.6
Employee_0224,Department_D,53.6
Employee_0225,Department_A,37.9
Employee_0226,Department_D,70.3
Employee_0227,Department_A,44.6
Employee_0228,Department_C,19.5
Employee_0229,Department_C,29.0
Employee_0230,Department_A,22.9
Employee_0231,Department_A,42.2
Employee_0232,Department_B,43.7
Employee_0233,Department_D,41.8
Employee_0234,Department_C,62.1
Employee_0235,Department_D,53.0
Employee_0236,Department_D,55.0
Employee_0237,Department_B,34.8
Employee_0238,Department_C,29.0
Employee_0239,Department_A,42.4
Employee_0240,Department_A,43.9
Employee_0241,Department_D,26.6
Employee_0242,Department_C,38.0
Employee_0243,Department_A,42.2
Employee_0244,Department_B,42.6
Employee_0245,Department_C,31.1
Employee_0246,Department_D,41.1
Employee_0247,Department_C,38.1
Employee_0248,Department_B,46.0
Employee_0249,Department_B,51.7
Employee_0250,Department_B,56.9
Employee_0251,Department_C,36.8
Employee_0252,Department_D,42.0
Employee_0253,Department_B,49.8
Employee_0254,Department_A,48.7
Employee_0255,Department_A,37.2
Employee_0256,Department_C,48.7
Employee_0257,Department_D,57.8
Employee_0258,Department_A,56.2
Employee_0259,Department_A,61.6
Employee_0260,Department_C,30.5
Employee_0261,Department_A,42.2
Employee_0262,Department_D,47.1
Employee_0263,Department_B,43.9
Employee_0264,Department_A,34.9
Employee_0265,Department_D,30.7
Employee_0266,Department_A,43.0
Employee_0267,Department_A,33.5
Employee_0268,Department_A,42.9
Employee_0269,Department_A,33.3
Employee_0270,Department_A,29.9
Employee_0271,Department_A,44.6
Employee_0272,Department_A,43.7
Employee_0273,Department_A,48.4
Employee_0274,Department_C,64.0
Employee_0275,Department_C,43.1
Employee_0276,Department_B,50.3
Employee_0277,Department_B,33.1
Employee_0278,Department_B,30.8
Employee_0279,Department_D,64.4
Employee_0280,Department_D,36.8
Employee_0281,Department_A,30.5
Employee_0282,Department_A,41.6
Employee_0283,Department_A,41.0
Employee_0284,Department_A,32.1
Employee_0285,Department_C,36.6
Employee_0286,Department_B,58.5
Employee_0287,Department_A,33.1
Employee_0288,Department_B,29.7
Employee_0289,Department_B,55.4
Employee_0290,Department_A,47.4
Employee_0291,Department_D,40.2
Employee_0292,Department_A,24.6
Employee_0293,Department_D,38.8
Employee_0294,Department_A,41.4
Employee_0295,Department_D,59.8
Employee_0296,Department_D,35.6
Employee_0297,Department_D,46.1
Employee_0298,Department_D,54.4
Employee_0299,Department_C,13.8
Employee_0300,Department_C,51.4
Employee_0301,Department_C,27.0
Employee_0302,Department_A,45.7
Employee_0303,Department_B,47.7
Employee_0304,Department_B,56.9
Employee_0305,Department_D,53.1
Employee_0306,Department_B,18.8
Employee_0307,Department_B,36.4
Employee_0308,Department_C,41.5
Employee_0309,Department_A,39.9
Employee_0310,Department_A,47.3
Employee_0311,Department_B,53.7
Employee_0312,Department_B,51.7
Employee_0313,Department_A,39.6
Employee_0314,Department_B,24.7
Employee_0315,Department_B,40.0
Employee_0316,Department_B,49.6
Employee_0317,Department_B,33.0
Employee_0318,Department_C,46.9
Employee_0319,Department_A,52.0
Employee_0320,Department_D,48.4
Employee_0321,Department_D,13.3
Employee_0322,Department_B,30.9
Employee_0323,Department_B,65.7
Employee_0324,Department_B,39.0
Employee_0325,Department_D,25.2
Employee_0326,Department_C,53.6
Employee_0327,Department_D,47.1
Employee_0328,Department_B,57.2
Employee_0329,Department_C,43.0
Employee_0330,Department_A,47.0
Employee_0331,Department_C,44.0
Employee_0332,Department_A,49.7
Employee_0333,Department_C,65.1
Employee_0334,Department_D,57.7
Employee_0335,Department_A,24.6
Employee_0336,Department_C,44.9
Employee_0337,Department_A,54.6
Employee_0338,Department_C,53.2
Employee_0339,Department_A,37.3
Employee_0340,Department_D,59.8
Employee_0341,Department_A,52.2
Employee_0342,Department_D,75.3
Employee_0343,Department_D,38.7
Employee_0344,Department_C,34.4
Employee_0345,Department_C,36.6
Employee_0346,Department_C,34.6
Employee_0347,Department_D,37.2
Employee_0348,Department_A,11.6
Employee_0349,Department_C,35.2
Employee_0350,Department_A,46.1
Employee_0351,Department_C,34.6
Employee_0352,Department_A,63.3
Employee_0353,Department_C,40.1
Employee_0354,Department_C,54.2
Employee_0355,Department_B,47.9
Employee_0356,Department_B,54.1
Employee_0357,Department_C,43.1
Employee_0358,Department_C,55.1
Employee_0359,Department_B,45.6
Employee_0360,Department_C,45.5
Employee_0361,Department_D,51.0
Employee_0362,Department_A,38.8
Employee_0363,Department_A,46.5
Employee_0364,Department_A,66.6
Employee_0365,Department_C,37.0
Employee_0366,Department_B,49.6
Employee_0367,Department_C,53.8
Employee_0368,Department_C,52.5
Employee_0369,Department_B,45.1
Employee_0370,Department_D,20.8
Employee_0371,Department_C,45.7
Employee_0372,Department_A,17.6
Employee_0373,Department_B,61.2
Employee_0374,Department_B,46.9
Employee_0375,Department_A,53.0
Employee_0376,Department_A,32.1
Employee_0377,Department_D,29.9
Employee_0378,Department_B,47.9
Employee_0379,Department_B,44.6
Employee_0380,Department_C,34.6
Employee_0381,Department_C,40.9
Employee_0382,Department_D,77.4
Employee_0383,Department_C,49.2
Employee_0384,Department_B,56.5
Employee_0385,Department_B,54.3
Employee_0386,Department_D,63.3
Employee_0387,Department_C,37.9
Employee_0388,Department_D,24.4
Employee_0389,Department_A,39.9
Employee_0390,Department_D,55.9
Employee_0391,Department_C,29.3
Employee_0392,Department_A,40.1
Employee_0393,Department_C,32.4
Employee_0394,Department_C,56.5
Employee_0395,Department_A,50.2
Employee_0396,Department_B,52.2
Employee_0397,Department_D,53.8
Employee_0398,Department_A,41.6
Employee_0399,Department_B,47.2
Employee_0400,Department_B,32.0
Employee_0401,Department_B,20.9
Employee_0402,Department_D,48.7
Employee_0403,Department_C,43.6
Employee_0404,Department_A,55.3
Employee_0405,Department_D,64.3
Employee_0406,Department_D,64.3
Employee_0407,Department_A,31.0
Employee_0408,Department_D,43.1
Employee_0409,Department_A,47.3
Employee_0410,Department_D,74.9
Employee_0411,Department_C,56.3
Employee_0412,Department_C,52.3
Employee_0413,Department_A,37.7
Employee_0414,Department_D,37.3
Employee_0415,Department_A,50.7
Employee_0416,Department_A,29.9
Employee_0417,Department_A,39.4
Employee_0418,Department_C,38.7
Employee_0419,Department_A,59.5
Employee_0420,Department_D,43.1
Employee_0421,Department_C,13.2
Employee_0422,Department_A,47.5
Employee_0423,Department_A,34.3
Employee_0424,Department_A,42.5
Employee_0425,Department_C,39.0
Employee_0426,Department_D,44.0
Employee_0427,Department_A,50.7
Employee_0428,Department_D,30.1
Employee_0429,Department_A,36.3
Employee_0430,Department_D,54.5
Employee_0431,Department_D,40.2
Employee_0432,Department_C,22.3
Employee_0433,Department_C,47.4
Employee_0434,Department_D,59.4
Employee_0435,Department_A,41.5
Employee_0436,Department_A,20.4
Employee_0437,Department_A,49.8
Employee_0438,Department_B,26.7
Employee_0439,Department_C,43.4
Employee_0440,Department_C,30.2
Employee_0441,Department_D,34.2
Employee_0442,Department_A,37.1
Employee_0443,Department_C,38.0
Employee_0444,Department_A,34.9
Employee_0445,Department_A,48.5
Employee_0446,Department_C,35.1
Employee_0447,Department_D,57.8
Employee_0448,Department_C,43.1
Employee_0449,Department_A,34.3
Employee_0450,Department_C,30.5
Employee_0451,Department_A,23.9
Employee_0452,Department_D,50.2
Employee_0453,Department_C,36.1
Employee_0454,Department_A,15.9
Employee_0455,Department_A,36.1
Employee_0456,Department_A,32.1
Employee_0457,Department_D,64.3
Employee_0458,Department_B,26.3
Employee_0459,Department_C,24.1
Employee_0460,Department_C,52.2
Employee_0461,Department_C,54.9
Employee_0462,Department_A,33.8
Employee_0463,Department_D,40.0
Employee_0464,Department_B,51.8
Employee_0465,Department_C,14.4
Employee_0466,Department_C,19.5
Employee_0467,Department_C,36.9
Employee_0468,Department_D,64.0
Employee_0469,Department_A,37.2
Employee_0470,Department_B,46.1
Employee_0471,Department_B,57.5
Employee_0472,Department_B,68.2
Employee_0473,Department_A,35.7
Employee_0474,Department_A,41.8
Employee_0475,Department_A,62.0
Employee_0476,Department_B,28.3
Employee_0477,Department_B,56.3
Employee_0478,Department_C,28.8
Employee_0479,Department_C,41.1
Employee_0480,Department_B,42.3
Employee_0481,Department_B,34.5
Employee_0482,Department_A,31.2
Employee_0483,Department_C,43.0
Employee_0484,Department_B,56.0
Employee_0485,Department_A,40.6
Employee_0486,Department_B,45.8
Employee_0487,Department_B,51.3
Employee_0488,Department_A,31.3
Employee_0489,Department_C,48.1
Employee_0490,Department_C,49.0
Employee_0491,Department_C,68.6
Employee_0492,Department_C,35.9
Employee_0493,Department_C,35.0
Employee_0494,Department_B,53.5
Employee_0495,Department_C,49.0
Employee_0496,Department_B,39.1
Employee_0497,Department_B,40.6
Employee_0498,Department_C,46.0
Employee_0499,Department_B,35.9
Employee_0500,Department_B,40.5
Employee_0501,Department_C,41.0
Employee_0502,Department_D,58.0
Employee_0503,Department_D,40.3
Employee_0504,Department_B,24.7
Employee_0505,Department_B,23.9
Employee_0506,Department_C,26.1
Employee_0507,Department_B,30.6
Employee_0508,Department_D,45.3
Employee_0509,Department_B,31.9
Employee_0510,Department_A,34.3
Employee_0511,Department_A,33.5
Employee_0512,Department_D,42.2
Employee_0513,Department_A,56.5
Employee_0514,Department_A,49.3
Employee_0515,Department_B,45.2
Employee_0516,Department_A,36.9
Employee_0517,Department_B,40.2
Employee_0518,Department_C,43.6
Employee_0519,Department_A,48.4
Employee_0520,Department_D,37.0
Employee_0521,Department_D,47.4
Employee_0522,Department_B,22.7
Employee_0523,Department_A,44.3
Employee_0524,Department_C,48.4
Employee_0525,Department_A,38.9
Employee_0526,Department_B,65.0
Employee_0527,Department_D,37.3
Employee_0528,Department_D,49.4
Employee_0529,Department_C,39.6
Employee_0530,Department_B,43.9
Employee_0531,Department_C,38.7
Employee_0532,Department_C,41.2
Employee_0533,Department_B,54.3
Employee_0534,Department_C,55.2
Employee_0535,Department_A,42.0
Employee_0536,Department_A,51.0
Employee_0537,Department_B,37.3
Employee_0538,Department_A,50.4
Employee_0539,Department_A,33.6
Employee_0540,Department_D,59.0
Employee_0541,Department_D,71.3
Employee_0542,Department_C,38.7
Employee_0543,Department_D,22.9
Employee_0544,Department_D,41.0
Employee_0545,Department_A,55.6
Employee_0546,Department_B,51.1
Employee_0547,Department_B,47.7
Employee_0548,Department_A,53.1
Employee_0549,Department_C,45.3
Employee_0550,Department_B,58.4
Employee_0551,Department_B,55.1
Employee_0552,Department_A,58.7
Employee_0553,Department_A,45.9
Employee_0554,Department_D,57.0
Employee_0555,Department_A,38.6
Employee_0556,Department_A,35.4
Employee_0557,Department_A,60.8
Employee_0558,Department_B,47.4
Employee_0559,Department_C,48.9
Employee_0560,Department_B,46.4
Employee_0561,Department_A,35.5
Employee_0562,Department_A,42.1
Employee_0563,Department_D,62.8
Employee_0564,Department_C,46.1
Employee_0565,Department_C,21.2
Employee_0566,Department_C,37.6
Employee_0567,Department_C,59.6
Employee_0568,Department_A,39.6
Employee_0569,Department_B,25.2
Employee_0570,Department_B,65.8
Employee_0571,Department_B,52.5
Employee_0572,Department_D,46.2
Employee_0573,Department_B,40.9
Employee_0574,Department_C,51.9
Employee_0575,Department_D,41.0
Employee_0576,Department_B,57.6
Employee_0577,Department_D,53.0
Employee_0578,Department_C,42.7
Employee_0579,Department_D,48.6
Employee_0580,Department_B,43.1
Employee_0581,Department_B,56.5
Employee_0582,Department_B,35.5
Employee_0583,Department_A,24.2
Employee_0584,Department_B,51.8
Employee_0585,Department_D,53.9
Employee_0586,Department_C,45.3
Employee_0587,Department_A,46.5
Employee_0588,Department_B,41.5
Employee_0589,Department_A,50.7
Employee_0590,Department_A,41.5
Employee_0591,Department_D,41.6
Employee_0592,Department_B,41.6
Employee_0593,Department_B,67.2
Employee_0594,Department_C,20.9
Employee_0595,Department_A,47.5
Employee_0596,Department_A,23.5
Employee_0597,Department_C,38.8
Employee_0598,Department_C,35.2
Employee_0599,Department_D,24.1
Employee_0600,Department_C,44.3
Employee_0601,Department_B,40.8
Employee_0602,Department_C,16.9
Employee_0603,Department_D,56.2
Employee_0604,Department_C,55.8
Employee_0605,Department_D,63.4
Employee_0606,Department_C,43.9
Employee_0607,Department_D,47.5
Employee_0608,Department_A,56.6
Employee_0609,Department_C,58.5
Employee_0610,Department_B,57.5
Employee_0611,Department_C,29.6
Employee_0612,Department_C,42.2
Employee_0613,Department_D,51.8
Employee_0614,Department_D,27.1
Employee_0615,Department_A,47.2
Employee_0616,Department_C,65.0
Employee_0617,Department_C,47.0
Employee_0618,Department_B,61.2
Employee_0619,Department_A,44.0
Employee_0620,Department_A,41.2
Employee_0621,Department_C,44.2
Employee_0622,Department_B,36.0
Employee_0623,Department_D,36.4
Employee_0624,Department_B,58.9
Employee_0625,Department_D,62.1
Employee_0626,Department_B,34.1
Employee_0627,Department_C,50.6
Employee_0628,Department_A,41.0
Employee_0629,Department_C,43.7
Employee_0630,Department_D,52.1
Employee_0631,Department_D,57.9
Employee_0632,Department_D,47.9
Employee_0633,Department_A,57.5
Employee_0634,Department_B,48.4
Employee_0635,Department_A,48.9
Employee_0636,Department_A,32.8
Employee_0637,Department_C,63.7
Employee_0638,Department_C,45.2
Employee_0639,Department_C,47.8
Employee_0640,Department_D,29.3
Employee_0641,Department_C,31.0
Employee_0642,Department_D,60.6
Employee_0643,Department_A,45.2
Employee_0644,Department_A,20.9
Employee_0645,Department_C,51.4
Employee_0646,Department_D,41.0
Employee_0647,Department_A,57.5
Employee_0648,Department_B,44.0
Employee_0649,Department_C,42.3
Employee_0650,Department_A,55.0
Employee_0651,Department_B,35.1
Employee_0652,Department_D,36.1
Employee_0653,Department_C,37.8
Employee_0654,Department_A,51.1
Employee_0655,Department_D,32.4
Employee_0656,Department_B,26.7
Employee_0657,Department_D,56.1
Employee_0658,Department_A,35.4
Employee_0659,Department_C,35.7
Employee_0660,Department_B,24.6
Employee_0661,Department_A,34.5
Employee_0662,Department_D,46.9
Employee_0663,Department_A,52.2
Employee_0664,Department_A,33.5
Employee_0665,Department_B,63.2
Employee_0666,Department_C,32.5
Employee_0667,Department_D,39.5
Employee_0668,Department_D,63.9
Employee_0669,Department_A,44.3
Employee_0670,Department_B,38.9
Employee_0671,Department_A,40.3
Employee_0672,Department_C,54.9
Employee_0673,Department_D,63.1
Employee_0674,Department_C,31.0
Employee_0675,Department_C,39.5
Employee_0676,Department_B,46.0
Employee_0677,Department_D,36.2
Employee_0678,Department_B,44.4
Employee_0679,Department_A,42.1
Employee_0680,Department_B,57.5
Employee_0681,Department_A,55.3
Employee_0682,Department_A,38.4
Employee_0683,Department_A,39.6
Employee_0684,Department_B,52.3
Employee_0685,Department_C,33.6
Employee_0686,Department_B,51.5
Employee_0687,Department_B,44.0
Employee_0688,Department_D,36.3
Employee_0689,Department_C,29.5
Employee_0690,Department_B,60.9
Employee_0691,Department_A,40.3
Employee_0692,Department_D,65.0
Employee_0693,Department_A,36.4
Employee_0694,Department_B,48.2
Employee_0695,Department_D,73.3
Employee_0696,Department_B,33.4
Employee_0697,Department_C,19.1
Employee_0698,Department_C,54.2
Employee_0699,Department_C,30.9
Employee_0700,Department_A,41.8
Employee_0701,Department_A,35.6
Employee_0702,Department_B,47.9
Employee_0703,Department_A,31.5
Employee_0704,Department_D,45.0
Employee_0705,Department_A,46.9
Employee_0706,Department_C,28.9
Employee_0707,Department_C,32.3
Employee_0708,Department_C,36.2
Employee_0709,Department_B,29.3
Employee_0710,Department_B,40.4
Employee_0711,Department_D,48.3
Employee_0712,Department_C,35.6
Employee_0713,Department_D,44.0
Employee_0714,Department_D,46.8
Employee_0715,Department_C,32.8
Employee_0716,Department_A,49.6
Employee_0717,Department_C,55.8
Employee_0718,Department_A,36.9
Employee_0719,Department_C,45.3
Employee_0720,Department_D,44.4
Employee_0721,Department_B,49.0
Employee_0722,Department_B,62.2
Employee_0723,Department_A,47.6
Employee_0724,Department_D,27.5
Employee_0725,Department_A,47.0
Employee_0726,Department_A,55.6
Employee_0727,Department_A,39.6
Employee_0728,Department_A,53.0
Employee_0729,Department_B,37.4
Employee_0730,Department_B,28.7
Employee_0731,Department_B,46.6
Employee_0732,Department_A,22.7
Employee_0733,Department_A,39.4
Employee_0734,Department_B,59.2
Employee_0735,Department_A,21.0
Employee_0736,Department_C,25.9
Employee_0737,Department_A,30.6
Employee_0738,Department_B,44.3
Employee_0739,Department_B,41.0
Employee_0740,Department_B,60.4
Employee_0741,Department_A,52.5
Employee_0742,Department_A,47.4
Employee_0743,Department_D,48.6
Employee_0744,Department_A,46.3
Employee_0745,Department_B,35.5
Employee_0746,Department_B,54.4
Employee_0747,Department_B,32.8
Employee_0748,Department_B,54.2
Employee_0749,Department_C,53.0
Employee_0750,Department_D,49.3
Employee_0751,Department_A,40.1
Employee_0752,Department_B,49.4
Employee_0753,Department_A,10.5
Employee_0754,Department_B,48.3
Employee_0755,Department_C,38.8
Employee_0756,Department_A,41.4
Employee_0757,Department_B,52.8
Employee_0758,Department_D,46.2
Employee_0759,Department_A,29.5
Employee_0760,Department_B,43.4
Employee_0761,Department_C,40.7
Employee_0762,Department_A,43.3
Employee_0763,Department_A,43.8
Employee_0764,Department_A,53.4
Employee_0765,Department_D,35.1
Employee_0766,Department_A,43.9
Employee_0767,Department_A,56.2
Employee_0768,Department_A,22.9
Employee_0769,Department_A,44.0
Employee_0770,Department_C,33.6
Employee_0771,Department_A,37.9
Employee_0772,Department_C,30.0
Employee_0773,Department_C,38.1
Employee_0774,Department_D,67.3
Employee_0775,Department_A,28.1
Employee_0776,Department_D,34.1
Employee_0777,Department_C,25.7
Employee_0778,Department_A,61.0
Employee_0779,Department_C,34.9
Employee_0780,Department_D,46.7
Employee_0781,Department_A,37.6
Employee_0782,Department_D,36.6
Employee_0783,Department_B,42.4
Employee_0784,Department_C,67.0
Employee_0785,Department_D,62.3
Employee_0786,Department_B,35.6
Employee_0787,Department_D,54.1
Employee_0788,Department_B,35.9
Employee_0789,Department_C,20.5
Employee_0790,Department_C,51.2
Employee_0791,Department_A,54.8
Employee_0792,Department_B,56.5
Employee_0793,Department_B,39.8
Employee_0794,Department_A,40.2
Employee_0795,Department_A,50.2
Employee_0796,Department_B,49.3
Employee_0797,Department_A,37.7
Employee_0798,Department_A,24.2
Employee_0799,Department_C,41.3
Employee_0800,Department_C,51.9
Employee_0801,Department_C,26.8
Employee_0802,Department_B,52.0
Employee_0803,Department_D,50.6
Employee_0804,Department_C,48.3
Employee_0805,Department_A,51.6
Employee_0806,Department_A,34.4
Employee_0807,Department_C,22.2
Employee_0808,Department_A,36.1
Employee_0809,Department_B,54.8
Employee_0810,Department_D,41.0
Employee_0811,Department_A,34.4
Employee_0812,Department_A,22.0
Employee_0813,Department_D,66.3
Employee_0814,Department_C,49.1
Employee_0815,Department_A,50.5
Employee_0816,Department_D,57.6
Employee_0817,Department_D,53.3
Employee_0818,Department_B,42.3
Employee_0819,Department_C,38.2
Employee_0820,Department_A,37.3
Employee_0821,Department_A,71.0
Employee_0822,Department_C,46.1
Employee_0823,Department_A,36.9
Employee_0824,Department_C,45.1
Employee_0825,Department_D,35.9
Employee_0826,Department_A,58.5
Employee_0827,Department_C,32.7
Employee_0828,Department_A,47.5
Employee_0829,Department_D,58.7
Employee_0830,Department_A,46.2
Employee_0831,Department_C,41.0
Employee_0832,Department_C,40.1
Employee_0833,Department_B,44.4
Employee_0834,Department_C,33.7
Employee_0835,Department_C,35.1
Employee_0836,Department_C,56.3
Employee_0837,Department_C,38.8
Employee_0838,Department_D,38.4
Employee_0839,Department_B,39.3
Employee_0840,Department_B,57.1
Employee_0841,Department_A,49.4
Employee_0842,Department_C,46.2
Employee_0843,Department_B,42.2
Employee_0844,Department_B,51.3
Employee_0845,Department_A,34.9
Employee_0846,Department_D,44.1
Employee_0847,Department_B,55.7
Employee_0848,Department_C,49.6
Employee_0849,Department_A,31.2
Employee_0850,Department_D,37.6
Employee_0851,Department_A,43.2
Employee_0852,Department_A,61.0
Employee_0853,Department_D,25.9
Employee_0854,Department_D,50.1
Employee_0855,Department_A,26.9
Employee_0856,Department_B,38.0
Employee_0857,Department_C,36.0
Employee_0858,Department_D,42.4
Employee_0859,Department_B,39.1
Employee_0860,Department_B,45.1
Employee_0861,Department_C,34.1
Employee_0862,Department_C,23.9
Employee_0863,Department_C,48.6
Employee_0864,Department_C,48.3
Employee_0865,Department_A,51.3
Employee_0866,Department_D,30.1
Employee_0867,Department_D,50.3
Employee_0868,Department_C,47.4
Employee_0869,Department_A,30.7
Employee_0870,Department_A,42.1
Employee_0871,Department_C,38.7
Employee_0872,Department_A,62.3
Employee_0873,Department_D,68.2
