household_id,region,monthly_spending_usd
Household_0136,Region_A,312.9
Household_0137,Region_D,316.6
Household_0138,Region_B,224.6
Household_0139,Region_C,314.5
Household_0140,Region_A,205.4
Household_0141,Region_B,241.3
Household_0142,Region_B,356.7
Household_0143,Region_D,334.2
Household_0144,Region_C,357.8
Household_0145,Region_B,270.1
Household_0146,Region_A,216.6
Household_0147,Region_B,271.8
Household_0148,Region_B,290.6
Household_0149,Region_B,289.3
Household_0150,Region_A,342.4
Household_0151,Region_D,268.1
Household_0152,Region_D,307.4
Household_0153,Region_A,225.6
Household_0154,Region_C,300.8
Household_0155,Region_A,280.2
Household_0156,Region_C,234.8
Household_0157,Region_B,272.0
Household_0158,Region_C,265.9
Household_0159,Region_C,261.1
Household_0160,Region_C,373.4
Household_0161,Region_A,274.6
Household_0162,Region_D,274.6
Household_0163,Region_A,164.6
Household_0164,Region_A,230.8
Household_0165,Region_C,261.5
Household_0166,Region_B,247.3
Household_0167,Region_D,364.0
Household_0168,Region_D,278.9
Household_0169,Region_B,355.9
Household_0170,Region_D,291.4
Household_0171,Region_B,287.0
Household_0172,Region_B,280.1
Household_0173,Region_A,280.2
Household_0174,Region_D,382.5
Household_0175,Region_A,152.4
Household_0176,Region_A,169.9
Household_0177,Region_B,255.1
Household_0178,Region_D,288.8
Household_0179,Region_D,326.0
Household_0180,Region_C,302.0
Household_0181,Region_D,266.9
Household_0182,Region_D,344.0
Household_0183,Region_B,341.7
Household_0184,Region_B,295.1
Household_0185,Region_C,328.9
Household_0186,Region_C,291.0
Household_0187,Region_B,254.1
Household_0188,Region_A,318.4
Household_0189,Region_C,282.1
Household_0190,Region_A,280.1
Household_0191,Region_D,369.0
Household_0192,Region_A,145.2
Household_0193,Region_A,202.0
Household_0194,Region_D,222.7
Household_0195,Region_A,260.0
Household_0196,Region_A,266.0
Household_0197,Region_C,193.1
Household_0198,Region_D,233.8
Household_0199,Region_A,232.7
Household_0200,Region_B,420.2
Household_0201,Region_C,375.1
Household_0202,Region_D,265.4
Household_0203,Region_B,265.0
Household_0204,Region_A,216.8
Household_0205,Region_A,175.1
Household_0206,Region_A,273.6
Household_0207,Region_A,225.1
Household_0208,Region_C,271.3
Household_0209,Region_A,192.0
Household_0210,Region_B,243.1
Household_0211,Region_C,284.2
Household_0212,Region_C,296.1
Household_0213,Region_A,303.0
Household_0214,Region_D,215.4
Household_0215,Region_C,323.0
Household_0216,Region_C,232.0
Household_0217,Region_A,314.8
Household_0218,Region_A,279.4
Household_0219,Region_D,212.3
Household_0220,Region_B,267.6
Household_0221,Region_B,305.1
Household_0222,Region_B,318.7
Household_0223,Region_C,268.2
Household_0224,Region_D,372.2
Household_0225,Region_B,340.4
Household_0226,Region_D,273.9
Household_0227,Region_A,321.3
Household_0228,Region_C,382.4
Household_0229,Region_C,383.8
Household_0230,Region_A,212.5
Household_0231,Region_A,229.0
Household_0232,Region_B,366.7
Household_0233,Region_D,229.8
Household_0234,Region_C,203.3
Household_0235,Region_D,261.3
Household_0236,Region_D,311.1
Household_0237,Region_B,279.4
Household_0238,Region_C,240.2
Household_0239,Region_A,242.9
Household_0240,Region_A,240.8
Household_0241,Region_D,239.6
Household_0242,Region_C,401.5
Household_0243,Region_A,296.4
Household_0244,Region_C,324.8
Household_0245,Region_C,249.1
Household_0246,Region_D,277.8
Household_0247,Region_C,236.8
Household_0248,Region_B,139.2
Household_0249,Region_B,209.2
Household_0250,Region_B,185.4
Household_0251,Region_C,152.3
Household_0252,Region_D,222.3
Household_0253,Region_B,357.9
Household_0254,Region_A,277.6
Household_0255,Region_A,351.0
Household_0256,Region_C,298.6
Household_0257,Region_D,331.0
Household_0258,Region_A,230.5
Household_0259,Region_A,308.8
Household_0260,Region_C,316.1
Household_0261,Region_A,248.3
Household_0262,Region_D,318.8
Household_0263,Region_B,316.1
Household_0264,Region_A,249.8
Household_0265,Region_D,226.2
Household_0266,Region_A,214.9
Household_0267,Region_B,289.8
Household_0268,Region_A,298.0
Household_0269,Region_A,236.4
Household_0270,Region_A,281.5
Household_0271,Region_A,311.4
Household_0272,Region_A,314.0
Household_0273,Region_A,365.4
Household_0274,Region_C,346.2
Household_0275,Region_C,220.9
Household_0276,Region_B,377.6
Household_0277,Region_B,255.8
Household_0278,Region_B,342.5
Household_0279,Region_D,291.7
Household_0280,Region_D,265.3
Household_0281,Region_A,180.6
Household_0282,Region_A,270.6
Household_0283,Region_A,194.2
Household_0284,Region_A,333.2
Household_0285,Region_C,359.4
Household_0286,Region_B,241.2
Household_0287,Region_A,296.6
Household_0288,Region_B,245.1
Household_0289,Region_B,250.4
Household_0290,Region_A,322.6
Household_0291,Region_D,285.9
Household_0292,Region_A,375.7
Household_0293,Region_D,261.5
Household_0294,Region_A,335.0
Household_0295,Region_D,293.4
Household_0296,Region_D,331.8
Household_0297,Region_D,263.4
Household_0298,Region_D,285.3
Household_0299,Region_C,269.6
Household_0300,Region_C,230.0
Household_0301,Region_C,312.4
Household_0302,Region_A,315.8
Household_0303,Region_C,308.6
Household_0304,Region_B,369.5
Household_0305,Region_D,367.7
Household_0306,Region_B,264.4
Household_0307,Region_B,305.5
Household_0308,Region_C,241.7
Household_0309,Region_A,281.3
Household_0310,Region_A,247.0
Household_0311,Region_B,374.1
Household_0312,Region_B,305.0
Household_0313,Region_A,268.0
Household_0314,Region_B,350.6
Household_0315,Region_B,165.6
Household_0316,Region_B,174.2
Household_0317,Region_B,328.8
Household_0318,Region_C,279.3
Household_0319,Region_B,298.8
Household_0320,Region_D,215.0
Household_0321,Region_D,286.7
Household_0322,Region_B,395.2
Household_0323,Region_B,330.3
Household_0324,Region_C,285.3
Household_0325,Region_D,263.9
Household_0326,Region_C,254.3
Household_0327,Region_D,170.9
Household_0328,Region_C,290.2
Household_0329,Region_C,322.5
Household_0330,Region_B,198.3
Household_0331,Region_C,239.6
Household_0332,Region_A,216.3
Household_0333,Region_C,222.9
Household_0334,Region_D,290.9
Household_0335,Region_A,165.4
Household_0336,Region_C,309.8
Household_0337,Region_A,321.5
Household_0338,Region_C,262.2
Household_0339,Region_A,143.6
Household_0340,Region_D,233.2
Household_0341,Region_A,347.8
Household_0342,Region_D,135.2
Household_0343,Region_D,268.9
Household_0344,Region_C,211.1
Household_0345,Region_C,320.3
Household_0346,Region_C,238.9
Household_0347,Region_D,310.2
Household_0348,Region_A,311.1
Household_0349,Region_C,377.0
Household_0350,Region_A,268.8
Household_0351,Region_C,296.7
Household_0352,Region_A,198.3
Household_0353,Region_C,341.5
Household_0354,Region_C,234.2
Household_0355,Region_B,254.2
Household_0356,Region_B,283.8
Household_0357,Region_C,190.0
Household_0358,Region_C,288.6
Household_0359,Region_B,338.2
Household_0360,Region_C,292.1
Household_0361,Region_D,200.6
Household_0362,Region_A,273.2
Household_0363,Region_A,320.8
Household_0364,Region_A,176.7
Household_0365,Region_C,216.9
Household_0366,Region_B,333.2
Household_0367,Region_C,290.9
Household_0368,Region_C,298.7
Household_0369,Region_B,387.3
Household_0370,Region_D,313.8
Household_0371,Region_C,312.2
Household_0372,Region_A,429.1
Household_0373,Region_B,273.2
Household_0374,Region_B,241.1
Household_0375,Region_A,303.5
Household_0376,Region_A,304.1
Household_0377,Region_D,259.0
Household_0378,Region_B,228.2
Household_0379,Region_B,412.0
Household_0380,Region_C,294.0
Household_0381,Region_C,235.7
Household_0382,Region_D,338.4
Household_0383,Region_C,270.0
Household_0384,Region_B,271.1
Household_0385,Region_B,315.9
Household_0386,Region_D,216.9
Household_0387,Region_C,295.4
Household_0388,Region_D,393.2
Household_0389,Region_A,305.6
Household_0390,Region_D,267.3
Household_0391,Region_C,248.1
Household_0392,Region_A,257.4
Household_0393,Region_C,262.0
Household_0394,Region_C,255.2
Household_0395,Region_A,330.4
Household_0396,Region_B,189.7
Household_0397,Region_D,335.4
Household_0398,Region_B,264.1
Household_0399,Region_B,305.7
Household_0400,Region_B,223.0
Household_0401,Region_B,358.1
Household_0402,Region_D,356.5
Household_0403,Region_C,328.8
Household_0404,Region_A,196.7
Household_0405,Region_D,333.6
Household_0406,Region_D,310.3
Household_0407,Region_B,196.7
Household_0408,Region_D,286.7
Household_0409,Region_A,300.0
Household_0410,Region_D,318.6
Household_0411,Region_C,285.7
Household_0412,Region_C,292.0
Household_0413,Region_A,361.0
Household_0414,Region_D,355.4
Household_0415,Region_A,122.3
Household_0416,Region_A,262.5
Household_0417,Region_A,270.9
Household_0418,Region_C,179.6
Household_0419,Region_A,285.2
Household_0420,Region_D,356.7
Household_0421,Region_C,216.2
Household_0422,Region_A,298.5
Household_0423,Region_A,229.6
Household_0424,Region_A,243.0
Household_0425,Region_C,357.3
Household_0426,Region_D,258.2
Household_0427,Region_A,305.4
Household_0428,Region_D,185.1
Household_0429,Region_A,382.4
Household_0430,Region_D,321.1
Household_0431,Region_D,278.0
Household_0432,Region_C,307.7
Household_0433,Region_C,198.5
Household_0434,Region_D,353.0
Household_0435,Region_A,262.2
Household_0436,Region_A,268.8
Household_0437,Region_A,253.0
Household_0438,Region_B,253.1
Household_0439,Region_C,314.2
Household_0440,Region_C,290.1
Household_0441,Region_D,323.8
Household_0442,Region_A,279.5
Household_0443,Region_C,304.2
Household_0444,Region_A,257.0
Household_0445,Region_A,402.6
Household_0446,Region_C,189.8
Household_0447,Region_D,357.4
Household_0448,Region_C,351.2
Household_0449,Region_A,233.1
Household_0450,Region_C,398.6
Household_0451,Region_A,334.8
Household_0452,Region_D,341.4
Household_0453,Region_C,277.5
Household_0454,Region_A,268.1
Household_0455,Region_A,268.5
Household_0456,Region_A,301.5
Household_0457,Region_D,365.1
Household_0458,Region_B,295.0
Household_0459,Region_C,225.9
Household_0460,Region_C,321.3
Household_0461,Region_C,326.7
Household_0462,Region_A,316.0
Household_0463,Region_D,329.0
Household_0464,Region_B,270.1
Household_0465,Region_C,224.9
Household_0466,Region_C,228.2
Household_0467,Region_C,186.0
Household_0468,Region_D,301.0
Household_0469,Region_A,275.4
Household_0470,Region_B,260.8
Household_0471,Region_B,122.4
Household_0472,Region_B,216.4
Household_0473,Region_A,341.6
Household_0474,Region_A,243.4
Household_0475,Region_A,299.8
Household_0476,Region_B,208.5
Household_0477,Region_B,364.1
Household_0478,Region_C,268.1
Household_0479,Region_C,292.0
Household_0480,Region_B,412.9
Household_0481,Region_B,368.4
Household_0482,Region_A,263.1
Household_0483,Region_C,243.4
Household_0484,Region_B,267.1
Household_0485,Region_A,308.0
Household_0486,Region_B,279.2
Household_0487,Region_B,263.3
Household_0488,Region_A,360.7
Household_0489,Region_C,269.7
Household_0490,Region_C,402.5
Household_0491,Region_C,281.0
Household_0492,Region_C,374.2
Household_0493,Region_C,295.7
Household_0494,Region_B,338.0
Household_0495,Region_C,236.1
Household_0496,Region_C,229.0
Household_0497,Region_B,310.3
Household_0498,Region_C,330.4
Household_0499,Region_B,287.2
Household_0500,Region_B,214.2
Household_0501,Region_C,201.2
Household_0502,Region_D,209.5
Household_0503,Region_D,190.8
Household_0504,Region_B,291.0
Household_0505,Region_B,346.9
Household_0506,Region_C,275.3
Household_0507,Region_B,160.7
Household_0508,Region_D,277.5
Household_0509,Region_B,276.0
Household_0510,Region_A,395.3
Household_0511,Region_A,199.9
Household_0512,Region_D,266.5
Household_0513,Region_A,373.8
Household_0514,Region_B,309.7
Household_0515,Region_B,316.0
Household_0516,Region_A,286.3
Household_0517,Region_B,303.1
Household_0518,Region_C,318.8
Household_0519,Region_A,235.5
Household_0520,Region_D,336.3
Household_0521,Region_D,212.5
Household_0522,Region_B,303.1
Household_0523,Region_A,289.8
Household_0524,Region_C,242.1
Household_0525,Region_A,278.8
Household_0526,Region_B,250.8
Household_0527,Region_D,229.1
Household_0528,Region_D,268.6
Household_0529,Region_C,215.3
Household_0530,Region_B,302.8
Household_0531,Region_C,212.7
Household_0532,Region_C,315.2
Household_0533,Region_B,220.0
Household_0534,Region_C,244.9
Household_0535,Region_A,245.6
Household_0536,Region_A,352.9
Household_0537,Region_B,303.2
Household_0538,Region_A,268.4
Household_0539,Region_A,307.4
Household_0540,Region_D,172.1
Household_0541,Region_D,285.6
Household_0542,Region_C,385.9
Household_0543,Region_D,295.3
Household_0544,Region_D,291.7
Household_0545,Region_A,310.1
Household_0546,Region_B,334.3
Household_0547,Region_B,175.1
Household_0548,Region_A,187.5
Household_0549,Region_C,287.6
Household_0550,Region_B,245.7
Household_0551,Region_B,357.2
Household_0552,Region_A,262.7
Household_0553,Region_A,173.6
Household_0554,Region_D,218.3
Household_0555,Region_A,128.8
Household_0556,Region_A,267.1
Household_0557,Region_B,274.6
Household_0558,Region_B,261.7
Household_0559,Region_C,335.3
Household_0560,Region_B,350.9
Household_0561,Region_A,270.6
Household_0562,Region_A,162.6
Household_0563,Region_D,322.0
Household_0564,Region_C,306.5
Household_0565,Region_C,293.0
Household_0566,Region_C,330.0
Household_0567,Region_C,211.9
Household_0568,Region_A,390.5
Household_0569,Region_B,232.2
Household_0570,Region_C,317.2
Household_0571,Region_B,192.2
Household_0572,Region_D,236.8
Household_0573,Region_B,368.4
Household_0574,Region_C,261.7
Household_0575,Region_D,334.2
Household_0576,Region_B,298.0
Household_0577,Region_D,282.2
Household_0578,Region_C,351.0
Household_0579,Region_D,275.0
Household_0580,Region_B,187.1
Household_0581,Region_B,240.8
Household_0582,Region_C,306.3
Household_0583,Region_A,301.8
Household_0584,Region_B,198.8
Household_0585,Region_D,248.2
Household_0586,Region_C,244.0
Household_0587,Region_A,259.9
Household_0588,Region_B,209.3
Household_0589,Region_A,245.4
Household_0590,Region_A,239.9
Household_0591,Region_D,330.4
Household_0592,Region_B,329.5
Household_0593,Region_B,277.0
Household_0594,Region_C,254.4
Household_0595,Region_A,287.7
Household_0596,Region_A,235.1
Household_0597,Region_C,212.9
Household_0598,Region_C,224.3
Household_0599,Region_D,253.1
Household_0600,Region_C,212.0
Household_0601,Region_B,293.9
Household_0602,Region_C,316.1
Household_0603,Region_D,200.7
Household_0604,Region_C,277.4
Household_0605,Region_D,275.9
Household_0606,Region_C,294.8
Household_0607,Region_D,287.3
Household_0608,Region_A,200.1
Household_0609,Region_C,206.6
Household_0610,Region_B,286.6
Household_0611,Region_C,332.6
Household_0612,Region_C,154.2
Household_0613,Region_D,307.0
Household_0614,Region_D,353.4
Household_0615,Region_B,276.6
Household_0616,Region_C,306.3
Household_0617,Region_C,237.3
Household_0618,Region_B,278.4
Household_0619,Region_A,190.8
Household_0620,Region_A,151.1
Household_0621,Region_C,327.9
Household_0622,Region_B,230.8
Household_0623,Region_D,262.9
Household_0624,Region_B,208.7
Household_0625,Region_D,210.5
Household_0626,Region_B,275.4
Household_0627,Region_C,235.9
Household_0628,Region_A,300.8
Household_0629,Region_C,300.9
Household_0630,Region_D,305.6
Household_0631,Region_D,301.1
Household_0632,Region_D,374.8
Household_0633,Region_A,221.3
Household_0634,Region_B,282.0
Household_0635,Region_A,342.3
Household_0636,Region_A,349.5
Household_0637,Region_C,197.8
Household_0638,Region_C,258.8
Household_0639,Region_C,350.7
Household_0640,Region_D,315.9
Household_0641,Region_C,286.7
Household_0642,Region_D,276.0
Household_0643,Region_A,258.9
Household_0644,Region_A,295.9
Household_0645,Region_C,262.1
Household_0646,Region_D,285.7
Household_0647,Region_A,284.3
Household_0648,Region_B,247.7
Household_0649,Region_C,305.3
Household_0650,Region_A,440.3
Household_0651,Region_B,187.3
Household_0652,Region_D,305.8
Household_0653,Region_C,234.2
Household_0654,Region_A,311.8
Household_0655,Region_D,290.6
Household_0656,Region_B,326.9
Household_0657,Region_D,352.7
Household_0658,Region_B,295.6
Household_0659,Region_C,338.3
Household_0660,Region_B,156.1
Household_0661,Region_A,367.5
Household_0662,Region_D,308.6
Household_0663,Region_A,339.3
Household_0664,Region_A,212.9
Household_0665,Region_B,239.3
Household_0666,Region_C,284.0
Household_0667,Region_D,287.1
Household_0668,Region_D,303.6
Household_0669,Region_B,344.6
Household_0670,Region_B,187.9
Household_0671,Region_A,333.6
Household_0672,Region_C,276.5
Household_0673,Region_D,276.8
Household_0674,Region_C,195.1
Household_0675,Region_C,303.7
Household_0676,Region_B,152.2
Household_0677,Region_D,323.7
Household_0678,Region_B,202.9
Household_0679,Region_A,282.9
Household_0680,Region_B,278.4
Household_0681,Region_A,344.3
Household_0682,Region_A,270.2
Household_0683,Region_A,241.8
Household_0684,Region_B,257.1
Household_0685,Region_C,346.0
Household_0686,Region_B,314.5
Household_0687,Region_B,263.8
Household_0688,Region_D,275.0
Household_0689,Region_C,189.8
Household_0690,Region_C,297.4
Household_0691,Region_B,188.2
Household_0692,Region_D,329.3
Household_0693,Region_A,287.1
Household_0694,Region_B,416.3
Household_0695,Region_D,227.5
Household_0696,Region_B,279.4
Household_0697,Region_C,374.9
Household_0698,Region_C,341.5
Household_0699,Region_C,237.7
Household_0700,Region_B,297.3
Household_0701,Region_A,280.1
Household_0702,Region_B,300.5
Household_0703,Region_A,241.6
Household_0704,Region_D,283.1
Household_0705,Region_B,197.1
Household_0706,Region_C,283.4
Household_0707,Region_C,300.8
Household_0708,Region_C,263.5
Household_0709,Region_B,196.2
Household_0710,Region_B,339.4
Household_0711,Region_D,308.0
Household_0712,Region_C,236.1
Household_0713,Region_D,272.6
Household_0714,Region_D,205.5
Household_0715,Region_C,219.6
Household_0716,Region_A,250.4
Household_0717,Region_C,343.6
Household_0718,Region_A,244.8
Household_0719,Region_C,311.2
Household_0720,Region_D,258.4
Household_0721,Region_B,298.6
Household_0722,Region_B,277.2
Household_0723,Region_A,328.0
Household_0724,Region_D,258.6
Household_0725,Region_A,193.5
Household_0726,Region_A,204.0
Household_0727,Region_A,250.7
Household_0728,Region_A,211.3
Household_0729,Region_B,307.6
Household_0730,Region_B,259.4
Household_0731,Region_B,415.6
Household_0732,Region_A,184.4
Household_0733,Region_A,291.2
Household_0734,Region_B,223.0
Household_0735,Region_A,252.9
Household_0736,Region_C,283.8
Household_0737,Region_A,152.1
Household_0738,Region_B,298.0
Household_0739,Region_B,389.7
Household_0740,Region_B,260.1
Household_0741,Region_A,294.3
Household_0742,Region_A,336.4
Household_0743,Region_D,279.0
Household_0744,Region_A,248.0
Household_0745,Region_B,159.8
Household_0746,Region_B,320.3
Household_0747,Region_B,278.8
Household_0748,Region_B,229.3
Household_0749,Region_C,283.0
Household_0750,Region_D,255.9
Household_0751,Region_A,250.9
Household_0752,Region_B,318.3
Household_0753,Region_A,206.4
Household_0754,Region_B,342.6
Household_0755,Region_C,199.1
Household_0756,Region_A,243.6
Household_0757,Region_B,390.8
Household_0758,Region_D,350.0
Household_0759,Region_A,285.4
Household_0760,Region_B,233.3
Household_0761,Region_C,246.9
Household_0762,Region_A,284.0
Household_0763,Region_A,282.1
Household_0764,Region_A,275.0
Household_0765,Region_D,286.3
Household_0766,Region_A,268.2
Household_0767,Region_A,200.7
Household_0768,Region_A,251.6
Household_0769,Region_A,330.3
Household_0770,Region_C,200.7
Household_0771,Region_A,269.6
Household_0772,Region_C,230.9
Household_0773,Region_C,282.1
Household_0774,Region_D,266.6
Household_0775,Region_A,361.3
Household_0776,Region_D,315.9
Household_0777,Region_C,203.9
Household_0778,Region_A,316.9
Household_0779,Region_C,233.4
Household_0780,Region_D,256.3
Household_0781,Region_A,297.3
Household_0782,Region_D,261.0
Household_0783,Region_B,334.1
Household_0784,Region_C,233.4
Household_0785,Region_D,254.0
Household_0786,Region_B,248.9
Household_0787,Region_D,256.9
Household_0788,Region_B,345.5
Household_0789,Region_C,310.6
Household_0790,Region_C,370.0
Household_0791,Region_A,404.7
Household_0792,Region_B,228.3
Household_0793,Region_B,288.9
Household_0794,Region_A,215.3
Household_0795,Region_A,237.2
Household_0796,Region_B,250.3
Household_0797,Region_A,221.9
Household_0798,Region_A,222.1
Household_0799,Region_C,268.1
Household_0800,Region_C,209.1
Household_0801,Region_C,322.3
Household_0802,Region_B,234.5
Household_0803,Region_D,442.5
Household_0804,Region_C,251.2
Household_0805,Region_A,284.0
Household_0806,Region_A,208.8
Household_0807,Region_C,369.8
Household_0808,Region_A,341.6
Household_0809,Region_B,301.3
Household_0810,Region_D,213.9
Household_0811,Region_A,291.6
Household_0812,Region_A,218.3
Household_0813,Region_D,368.4
Household_0814,Region_C,320.5
Household_0815,Region_A,285.2
Household_0816,Region_D,154.0
Household_0817,Region_D,233.9
Household_0818,Region_C,313.8
Household_0819,Region_C,342.7
Household_0820,Region_A,341.0
Household_0821,Region_A,192.4
Household_0822,Region_C,292.6
Household_0823,Region_B,340.9
Household_0824,Region_C,184.8
Household_0825,Region_D,287.6
Household_0826,Region_A,295.1
Household_0827,Region_C,259.5
Household_0828,Region_A,178.1
Household_0829,Region_D,270.1
Household_0830,Region_A,262.0
Household_0831,Region_C,267.9
Household_0832,Region_C,245.0
Household_0833,Region_B,260.6
Household_0834,Region_C,273.8
Household_0835,Region_C,300.3
Household_0836,Region_C,259.3
Household_0837,Region_C,253.5
Household_0838,Region_D,293.1
Household_0839,Region_B,179.3
Household_0840,Region_B,311.2
Household_0841,Region_A,280.0
Household_0842,Region_C,278.2
Household_0843,Region_B,337.8
Household_0844,Region_B,177.6
Household_0845,Region_A,171.4
Household_0846,Region_D,303.1
Household_0847,Region_B,284.6
Household_0848,Region_C,285.4
Household_0849,Region_A,254.6
Household_0850,Region_D,324.5
Household_0851,Region_A,331.3
Household_0852,Region_A,306.6
Household_0853,Region_D,273.7
Household_0854,Region_D,172.1
Household_0855,Region_A,322.3
Household_0856,Region_B,352.2
Household_0857,Region_C,311.5
Household_0858,Region_D,239.6
Household_0859,Region_B,322.1
Household_0860,Region_B,332.3
Household_0861,Region_C,361.7
Household_0862,Region_C,227.8
Household_0863,Region_C,263.5
Household_0864,Region_C,317.1
Household_0865,Region_A,283.2
Household_0866,Region_D,226.5
Household_0867,Region_D,310.8
Household_0868,Region_C,307.8
Household_0869,Region_A,284.8
Household_0870,Region_A,292.1
Household_0871,Region_C,261.8
Household_0872,Region_A,361.3
Household_0873,Region_D,238.5
Household_0874,Region_B,252.7
Household_0875,Region_C,276.6
Household_0876,Region_D,336.3
Household_0877,Region_B,202.6
Household_0878,Region_B,212.9
Household_0879,Region_C,163.9
Household_0880,Region_C,277.8
Household_0881,Region_B,223.5
Household_0882,Region_C,254.8
Household_0883,Region_D,324.4
Household_0884,Region_B,249.7
Household_0885,Region_A,292.7
Household_0886,Region_B,268.5
Household_0887,Region_B,322.0
Household_0888,Region_A,306.1
Household_0889,Region_A,241.9
Household_0890,Region_C,266.7
Household_0891,Region_B,342.4
Household_0892,Region_D,309.6
Household_0893,Region_A,203.2
Household_0894,Region_A,316.1
Household_0895,Region_C,216.3
Household_0896,Region_D,365.7
Household_0897,Region_A,336.3
Household_0898,Region_A,295.9
Household_0899,Region_A,288.6
Household_0900,Region_B,273.5
Household_0901,Region_B,322.3
Household_0902,Region_A,259.6
Household_0903,Region_A,293.0
Household_0904,Region_B,333.0
Household_0905,Region_D,257.1
Household_0906,Region_C,242.1
Household_0907,Region_B,219.3
Household_0908,Region_A,221.5
Household_0909,Region_A,179.4
Household_0910,Region_B,325.1
Household_0911,Region_C,375.5
Household_0912,Region_D,366.4
Household_0913,Region_D,198.6
Household_0914,Region_D,327.9
Household_0915,Region_D,366.2
Household_0916,Region_D,262.9
Household_0917,Region_A,285.6
Household_0918,Region_A,169.6
Household_0919,Region_B,299.7
Household_0920,Region_C,217.5
Household_0921,Region_A,291.0
Household_0922,Region_D,202.1
Household_0923,Region_C,305.9
Household_0924,Region_C,332.3
Household_0925,Region_A,236.9
Household_0926,Region_A,217.5
Household_0927,Region_A,161.4
Household_0928,Region_D,273.3
Household_0929,Region_C,244.0
Household_0930,Region_C,190.7
Household_0931,Region_B,309.9
